#TYPE=EXOPLANET
#OBSCODE=VVIA
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.1.0
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-2
#EXOPLANET_NAME=TrES-2 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=ASI294MM Astrodon R E-series
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "610.0", "units": "nm"}, {"value": "690.0", "units": "nm"}]}
#PRIORS=Period=2.4706135 +/- 6e-08,Rp/R*=0.119293 +/- 1.8e-05,a/R*=7.81 +/- 0.31,inc=83.89 +/- 0.29,ecc=0.0,u0=2.223 +/- 0.02,u1=-3.897 +/- 0.082,u2=4.2 +/- 0.11,u3=-1.524 +/- 0.045
#PRIORS-XC={"Period": {"value": "2.4706135", "uncertainty": "6e-08", "units": "days"}, "Rp/R*": {"value": "0.119293", "uncertainty": "1.8e-05"}, "a/R*": {"value": "7.81", "uncertainty": "0.31"}, "inc": {"value": "83.89", "uncertainty": "0.29", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.223", "uncertainty": "0.02"}, "u1": {"value": "-3.897", "uncertainty": "0.082"}, "u2": {"value": "4.2", "uncertainty": "0.11"}, "u3": {"value": "-1.524", "uncertainty": "0.045"}}
#RESULTS=Tc=2460163.8172 +/- 0.0013,Rp/R*=0.1312 +/- 0.0068,a/R*=7.97 +/- 0.18,Am1=1.1515 +/- 0.0075,Am2=-0.1058 +/- 0.0036
#RESULTS-XC={"Tc": {"value": "2460163.8172", "uncertainty": "0.0013", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1312", "uncertainty": "0.0068"}, "a/R*": {"value": "7.97", "uncertainty": "0.18"}, "Am1": {"value": "1.1515", "uncertainty": "0.0075"}, "Am2": {"value": "-0.1058", "uncertainty": "0.0036"}, "Duration": {"value": "0.074", "uncertainty": "0.0038", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460163.7714504,1.0302853,0.0065621,1.0489341,1.030587
2460163.77215612,1.0365386,0.0065619,1.0493407,1.0305427
2460163.7728573,1.041739,0.0065616,1.0497736,1.0304955
2460163.77355747,1.0259382,0.0065612,1.0502066,1.0304483
2460163.77425813,1.0382482,0.0065609,1.0506458,1.0304004
2460163.77495929,1.0223187,0.0065606,1.0511035,1.0303505
2460163.77566113,1.0302926,0.0065603,1.0515729,1.0302994
2460163.77636315,1.0421399,0.0065599,1.052069,1.0302453
2460163.77706458,1.0458291,0.0065596,1.052558,1.030192
2460163.77776585,1.0352514,0.0065592,1.0530599,1.0301373
2460163.778466,1.0355169,0.0065589,1.0535759,1.0300811
2460163.77916802,1.0297176,0.0065585,1.0541001,1.030024
2460163.77986943,1.0317445,0.0065581,1.0546592,1.029963
2460163.78057103,1.0384785,0.0065577,1.0552248,1.0299014
2460163.78127226,1.0329765,0.0065573,1.0557679,1.0298422
2460163.78197223,1.0318824,0.0065569,1.0563558,1.0297782
2460163.7826731,1.0279124,0.0065565,1.0569476,1.0297137
2460163.78337328,1.0387698,0.006556,1.0575423,1.0296489
2460163.78407385,1.0294658,0.0065556,1.0581685,1.0295807
2460163.78477415,1.0257605,0.0065552,1.0588028,1.0295116
2460163.78547595,1.0273848,0.0065547,1.0594444,1.0294418
2460163.78617687,1.0193761,0.0065542,1.0600886,1.0293716
2460163.78687734,1.032743,0.0065538,1.060757,1.0292988
2460163.78757791,1.024857,0.0065533,1.0614198,1.0292267
2460163.78827926,1.0138048,0.0065528,1.0621063,1.0291519
2460163.78897925,1.013738,0.0065523,1.0628063,1.0290757
2460163.78968004,1.0189364,0.0065518,1.0635143,1.0289986
2460163.79038123,1.0250641,0.0065513,1.0642514,1.0289184
2460163.79108281,1.0264405,0.0065508,1.0649849,1.0288386
2460163.7917832,1.0255269,0.0065502,1.0657389,1.0287565
2460163.79248324,1.0188511,0.0065497,1.0665027,1.0286734
2460163.7931852,1.0204254,0.0065492,1.0672783,1.028589
2460163.79388548,1.0177184,0.0065486,1.0680686,1.028503
2460163.79458986,1.036861,0.006548,1.0688666,1.0284161
2460163.79529112,1.008061,0.0065474,1.0697002,1.0283255
2460163.79599168,1.0215328,0.0065469,1.0705268,1.0282355
2460163.79669362,1.0121196,0.0065463,1.0713782,1.0281429
2460163.79739391,1.0259568,0.0065457,1.0722209,1.0280513
2460163.79809508,1.016809,0.0065451,1.0730796,1.0279579
2460163.7987959,1.025388,0.0065444,1.0739576,1.0278624
