#TYPE=EXOPLANET
#OBSCODE=VVIA
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.1.0
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-5
#EXOPLANET_NAME=TrES-5 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "305.154334872", "dec": "59.4731762392", "x": "2055", "y": "1556"}
#NOTES=ASI294MM Astrodon R E-series
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "610.0", "units": "nm"}, {"value": "690.0", "units": "nm"}]}
#PRIORS=Period=1.4822464 +/- 1.5e-07,Rp/R*=0.148054 +/- 9.3e-06,a/R*=6.188 +/- 0.081,inc=84.529 +/- 0.005,ecc=0.03,u0=1.914 +/- 0.016,u1=-3.195 +/- 0.064,u2=3.529 +/- 0.083,u3=-1.247 +/- 0.035
#PRIORS-XC={"Period": {"value": "1.4822464", "uncertainty": "1.5e-07", "units": "days"}, "Rp/R*": {"value": "0.148054", "uncertainty": "9.3e-06"}, "a/R*": {"value": "6.188", "uncertainty": "0.081"}, "inc": {"value": "84.529", "uncertainty": "0.005", "units": "degrees"}, "ecc": {"value": "0.03", "uncertainty": null}, "u0": {"value": "1.914", "uncertainty": "0.016"}, "u1": {"value": "-3.195", "uncertainty": "0.064"}, "u2": {"value": "3.529", "uncertainty": "0.083"}, "u3": {"value": "-1.247", "uncertainty": "0.035"}}
#RESULTS=Tc=2460162.7255 +/- 0.0016,Rp/R*=0.1542 +/- 0.0066,a/R*=5.62 +/- 0.2,Am1=0.999 +/- 0.013,Am2=0.001 +/- 0.017
#RESULTS-XC={"Tc": {"value": "2460162.7255", "uncertainty": "0.0016", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1542", "uncertainty": "0.0066"}, "a/R*": {"value": "5.62", "uncertainty": "0.2"}, "Am1": {"value": "0.999", "uncertainty": "0.013"}, "Am2": {"value": "0.001", "uncertainty": "0.017"}, "Duration": {"value": "0.087", "uncertainty": "0.0042", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460162.66256488,0.9864479,0.0131205,1.3386901,1.0002964
2460162.66327855,1.0035308,0.0131204,1.3361542,1.0002945
2460162.66397883,1.0128715,0.0131203,1.3336133,1.0002927
2460162.6646802,0.9783127,0.0131202,1.3310201,1.0002908
2460162.66538062,0.9986568,0.0131201,1.3285282,1.000289
2460162.66608097,1.0034929,0.0131199,1.3260576,1.0002872
2460162.6667838,0.9970733,0.0131198,1.3235921,1.0002854
2460162.66748431,1.0068864,0.0131197,1.3212013,1.0002837
2460162.66818505,1.0242328,0.0131196,1.3187637,1.0002819
2460162.66958718,0.9752175,0.0131194,1.3139159,1.0002784
2460162.67028823,1.0102488,0.0131193,1.3115801,1.0002767
2460162.67099066,0.9912356,0.0131192,1.3092298,1.000275
2460162.67169193,1.0016665,0.0131191,1.306913,1.0002733
2460162.67239318,0.9835521,0.013119,1.3046014,1.0002717
2460162.67309529,1.0155899,0.0131189,1.3022188,1.0002699
2460162.67379681,0.993685,0.0131188,1.2999497,1.0002683
2460162.67449719,1.008232,0.0131187,1.2977325,1.0002667
2460162.67519821,1.0,0.0131186,1.2954983,1.0002651
2460162.67590046,0.9850566,0.0131185,1.2932772,1.0002634
2460162.67660252,1.0049895,0.0131183,1.2910094,1.0002618
2460162.67730323,1.013963,0.0131183,1.2888676,1.0002602
2460162.67800424,0.9924939,0.0131182,1.2866286,1.0002586
2460162.67870508,1.0213476,0.0131181,1.284501,1.0002571
2460162.67940747,0.9845927,0.013118,1.2823689,1.0002555
2460162.680109,1.0154918,0.0131179,1.2802101,1.000254
2460162.68080996,1.0226257,0.0131178,1.2780947,1.0002524
2460162.68151223,1.0033607,0.0131177,1.2760245,1.0002509
2460162.68221383,0.9935971,0.0131176,1.2739567,1.0002494
2460162.68291567,0.9987745,0.0131175,1.2719062,1.0002479
2460162.68361793,1.0051743,0.0131174,1.2698208,1.0002464
2460162.68432171,0.995314,0.0131173,1.2677974,1.000245
2460162.68502355,0.9948479,0.0131172,1.2657777,1.0002435
2460162.68572424,1.0042611,0.0131171,1.2638034,1.0002421
2460162.68642695,1.0040043,0.013117,1.2617922,1.0002406
2460162.68712846,0.9888673,0.0131169,1.2598306,1.0002392
2460162.68782947,0.9707952,0.0131168,1.2578784,1.0002378
2460162.68853137,0.9888034,0.0131168,1.2559636,1.0002364
2460162.6892322,1.0051968,0.0131167,1.2540632,1.000235
2460162.6899329,0.9684177,0.0131166,1.2521194,1.0002336
2460162.69063347,1.0010038,0.0131165,1.2502481,1.0002322
2460162.69133469,1.0096181,0.0131164,1.2483931,1.0002309
