#TYPE=EXOPLANET
#OBSCODE=VVIA
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.1.0
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=Qatar-6
#EXOPLANET_NAME=Qatar-6 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "222.120348597", "dec": "22.0940719079", "x": "395", "y": "302"}
#NOTES=Weather, seeing was nice.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "590.0", "units": "nm"}, {"value": "690.0", "units": "nm"}]}
#PRIORS=Period=3.506195 +/- 1.8e-05,Rp/R*=0.1356 +/- 0.001,a/R*=12.61 +/- 0.22,inc=86.01 +/- 0.14,ecc=0.0,u0=1.834 +/- 0.014,u1=-3.024 +/- 0.058,u2=3.41 +/- 0.075,u3=-1.219 +/- 0.031
#PRIORS-XC={"Period": {"value": "3.506195", "uncertainty": "1.8e-05", "units": "days"}, "Rp/R*": {"value": "0.1356", "uncertainty": "0.001"}, "a/R*": {"value": "12.61", "uncertainty": "0.22"}, "inc": {"value": "86.01", "uncertainty": "0.14", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.834", "uncertainty": "0.014"}, "u1": {"value": "-3.024", "uncertainty": "0.058"}, "u2": {"value": "3.41", "uncertainty": "0.075"}, "u3": {"value": "-1.219", "uncertainty": "0.031"}}
#RESULTS=Tc=2460483.8081 +/- 0.0013,Rp/R*=0.1501 +/- 0.0091,a/R*=12.25 +/- 0.3,Am1=0.9969 +/- 0.0061,Am2=0.0026 +/- 0.0013
#RESULTS-XC={"Tc": {"value": "2460483.8081", "uncertainty": "0.0013", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1501", "uncertainty": "0.0091"}, "a/R*": {"value": "12.25", "uncertainty": "0.3"}, "Am1": {"value": "0.9969", "uncertainty": "0.0061"}, "Am2": {"value": "0.0026", "uncertainty": "0.0013"}, "Duration": {"value": "0.071", "uncertainty": "0.0039", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460483.71849227,0.9963351,0.0066692,1.0299343,0.9995188
2460483.71920686,0.999394,0.0066692,1.0305662,0.9995205
2460483.71992211,0.9934016,0.0066692,1.0312092,0.9995221
2460483.72063702,1.0074409,0.0066692,1.031879,0.9995238
2460483.72135158,1.0001246,0.0066692,1.0325556,0.9995256
2460483.72206779,1.006919,0.0066692,1.0332309,0.9995273
2460483.72301865,0.9993444,0.0066692,1.034181,0.9995297
2460483.72373413,1.0084926,0.0066693,1.0349245,0.9995316
2460483.72444925,0.9978436,0.0066693,1.0356763,0.9995335
2460483.72516347,1.004726,0.0066693,1.036453,0.9995355
2460483.72588739,1.0057485,0.0066693,1.0372485,0.9995376
2460483.72660142,0.9981852,0.0066693,1.0380556,0.9995396
2460483.72756712,1.0117591,0.0066693,1.0391626,0.9995425
2460483.72828376,1.001077,0.0066693,1.0399999,0.9995446
2460483.72899828,1.0038596,0.0066693,1.0408885,0.9995469
2460483.72971259,1.004176,0.0066693,1.0417673,0.9995491
2460483.73205402,0.9937078,0.0066694,1.0447497,0.9995568
2460483.73276875,1.0006536,0.0066694,1.0457269,0.9995593
2460483.73404738,1.0022135,0.0066694,1.0474897,0.9995638
2460483.73476372,1.0055057,0.0066694,1.0484915,0.9995663
2460483.73547824,1.0051159,0.0066694,1.0495343,0.999569
2460483.73619418,0.9940735,0.0066695,1.050598,0.9995717
2460483.73690823,1.000219,0.0066695,1.0516453,0.9995744
2460483.73762278,1.0049435,0.0066695,1.0527329,0.9995772
2460483.73859799,0.9853222,0.0066695,1.0542574,0.9995811
2460483.73931306,0.998511,0.0066695,1.0553955,0.999584
2460483.74002958,1.0004653,0.0066695,1.0565497,0.999587
2460483.74074597,0.9969819,0.0066696,1.0577372,0.99959
2460483.74146151,0.9982506,0.0066696,1.0589366,0.9995931
2460483.74217622,0.9969843,0.0066696,1.0601156,0.9995961
2460483.74314621,0.9971573,0.0066696,1.0617863,0.9996004
2460483.74386045,0.9892814,0.0066696,1.063051,0.9996036
2460483.7445751,0.993728,0.0066696,1.0643314,0.9996069
2460483.74529036,1.008859,0.0066697,1.0655998,0.9996101
2460483.7460041,1.0020473,0.0066697,1.0669301,0.9996135
2460483.74672017,0.997778,0.0066697,1.0682596,0.9996169
2460483.74778778,1.0022502,0.0066697,1.0703113,0.9996222
2460483.74850411,0.9929675,0.0066697,1.0717051,0.9996257
2460483.7492212,0.9957534,0.0066697,1.0731241,0.9996294
2460483.74994528,1.00101,0.0066698,1.074567,0.9996331
2460483.75066147,0.9925578,0.0066698,1.0760238,0.9996368
2460483.7513754,0.9984553,0.0066698,1.0774557,0.9996405
2460483.75231739,0.9980843,0.0066698,1.0794281,0.9996455
2460483.75303183,0.9977271,0.0066698,1.0809756,0.9996495
2460483.75374645,1.005584,0.0066699,1.08252,0.9996534
2460483.75446095,1.0048118,0.0066699,1.0840498,0.9996573
2460483.75517546,0.9989828,0.0066699,1.085612,0.9996613
2460483.75589171,0.9922383,0.0066699,1.0872357,0.9996655
2460483.75699069,0.9984496,0.00667,1.0897346,0.9996719
2460483.75770559,1.0033541,0.00667,1.0914042,0.9996762
2460483.75841994,0.9982875,0.00667,1.093107,0.9996805
2460483.75913481,1.0002479,0.00667,1.0947924,0.9996848
2460483.7598481,0.9956091,0.00667,1.0964956,0.9996892
2460483.76056304,1.0028018,0.0066701,1.0982402,0.9996936
2460483.76322015,0.9898719,0.0066702,1.1049958,0.9997109
2460483.76393419,0.995332,0.0066702,1.1068119,0.9997156
2460483.76464876,1.0032988,0.0066702,1.1087166,0.9997205
2460483.76536376,0.9990406,0.0066702,1.1106351,0.9997254
2460483.76608028,1.0027308,0.0066703,1.1125757,0.9997303
2460483.76679449,1.0049716,0.0066703,1.1144657,0.9997352
2460483.76789007,0.9983195,0.0066703,1.1175769,0.9997431
2460483.76860346,1.0000189,0.0066703,1.1195429,0.9997482
2460483.76932811,1.007892,0.0066704,1.1216538,0.9997536
2460483.77004199,0.9976647,0.0066704,1.1236617,0.9997587
2460483.77075758,0.9988121,0.0066704,1.1257775,0.9997641
2460483.77147228,0.9978472,0.0066704,1.1279164,0.9997696
2460483.77241859,0.9987698,0.0066705,1.1307548,0.9997769
2460483.77313421,1.0000071,0.0066705,1.1329458,0.9997825
2460483.77385001,0.9910162,0.0066705,1.135096,0.999788
2460483.77456579,1.000437,0.0066706,1.1373352,0.9997937
2460483.77528116,0.9967986,0.0066706,1.1396077,0.9997995
2460483.77599592,1.0021024,0.0066706,1.1419222,0.9998054
2460483.77706982,0.9989457,0.0066707,1.1453662,0.9998143
2460483.77779284,0.999275,0.0066707,1.147751,0.9998204
2460483.77851135,0.9904807,0.0066707,1.1501516,0.9998265
2460483.77922566,1.009153,0.0066708,1.1525701,0.9998327
2460483.77993993,0.9949546,0.0066708,1.1550098,0.9998389
2460483.78065347,0.9918143,0.0066708,1.1574172,0.9998451
2460483.7816049,0.9988335,0.0066709,1.1607394,0.9998536
2460483.78232033,1.0031525,0.0066709,1.1633105,0.9998602
2460483.78475411,0.998562,0.006671,1.1721533,0.9998828
2460483.78546844,0.981484,0.006671,1.1748397,0.9998897
2460483.78618429,0.9857262,0.0066711,1.1775103,0.9998965
2460483.78690063,0.9899414,0.0066711,1.1801892,0.9999034
2460483.78783323,0.9829582,0.0066712,1.1838641,0.9999128
2460483.7885475,0.9944697,0.0066712,1.1866667,0.99992
2460483.78926216,0.9835978,0.0066712,1.1894073,0.999927
2460483.78997784,0.9873585,0.0066713,1.1922779,0.9999343
2460483.7906987,0.9847078,0.0066713,1.1951805,0.9999418
2460483.79142398,0.990621,0.0066713,1.1981535,0.9999494
2460483.79234614,0.980883,0.0066714,1.2019912,0.9999592
2460483.79306047,0.9857903,0.0066714,1.2050045,0.9999669
2460483.79377499,0.9895348,0.0066715,1.2080417,0.9999747
2460483.79611288,0.9789253,0.0066716,1.2181564,1.0000006
2460483.79683177,0.9799784,0.0066716,1.2213544,1.0000088
2460483.79754829,0.9781166,0.0066717,1.2245665,1.000017
2460483.79862732,0.9753059,0.0066717,1.2295324,1.0000297
2460483.79934195,0.9762399,0.0066718,1.2327598,1.000038
2460483.80005899,0.9753965,0.0066718,1.2361451,1.0000466
2460483.80077411,0.9844712,0.0066719,1.239533,1.0000553
2460483.80148841,0.9768451,0.0066719,1.2429976,1.0000642
2460483.80220256,0.9825646,0.006672,1.24635,1.0000728
2460483.80313908,0.9859054,0.006672,1.2510125,1.0000847
2460483.80385333,0.9839141,0.0066721,1.2544338,1.0000935
2460483.80456823,0.9709719,0.0066721,1.2580116,1.0001026
2460483.80528328,0.9837443,0.0066722,1.2616673,1.000112
2460483.80755849,0.9827053,0.0066723,1.2734237,1.0001421
2460483.80827255,0.986877,0.0066724,1.2772307,1.0001518
2460483.80936403,0.9887748,0.0066724,1.2831168,1.0001669
2460483.81007857,0.977906,0.0066725,1.2870251,1.0001769
2460483.81079266,0.9741331,0.0066725,1.2908428,1.0001867
2460483.81150752,0.9891309,0.0066726,1.2948598,1.000197
2460483.81222146,0.984234,0.0066726,1.2988925,1.0002073
2460483.81293596,0.9810797,0.0066727,1.3029765,1.0002178
2460483.81396432,0.9769814,0.0066728,1.3088423,1.0002328
2460483.81467868,0.9800428,0.0066728,1.3130785,1.0002436
2460483.8153929,0.9785283,0.0066729,1.3173234,1.0002545
2460483.81610703,0.9874179,0.0066729,1.3214947,1.0002652
2460483.81682391,0.9839822,0.006673,1.3258328,1.0002763
2460483.81754098,0.9859264,0.006673,1.3302236,1.0002875
2460483.81850347,0.9872561,0.0066731,1.3360723,1.0003025
2460483.81921905,0.9794652,0.0066732,1.3405915,1.0003141
2460483.81993494,0.9760422,0.0066732,1.3451621,1.0003258
2460483.82065003,0.984819,0.0066733,1.3497722,1.0003376
2460483.82136497,0.986023,0.0066733,1.3544105,1.0003495
2460483.8220802,0.9889303,0.0066734,1.35906,1.0003614
2460483.82315025,0.986346,0.0066735,1.3662057,1.0003797
2460483.82386476,0.9932639,0.0066736,1.3708519,1.0003916
2460483.82458812,0.9874123,0.0066736,1.3759323,1.0004046
2460483.8253016,0.9883673,0.0066737,1.3807247,1.0004169
2460483.8260167,0.9893625,0.0066737,1.3856729,1.0004295
2460483.826733,1.0028929,0.0066738,1.3907371,1.0004425
2460483.82782471,0.9971936,0.0066739,1.3985594,1.0004625
2460483.82853916,0.9888242,0.006674,1.4037638,1.0004759
2460483.82926475,0.992773,0.006674,1.4090336,1.0004894
2460483.82998178,0.9904852,0.0066741,1.4143809,1.0005031
2460483.83069827,0.9848873,0.0066742,1.4196737,1.0005166
2460483.83141445,0.986435,0.0066742,1.4252267,1.0005308
2460483.83245896,0.9931515,0.0066744,1.4332013,1.0005513
2460483.83317218,0.9858618,0.0066744,1.4386789,1.0005653
2460483.83388837,0.9973876,0.0066745,1.4443637,1.0005799
2460483.83460448,0.9967843,0.0066746,1.4500127,1.0005943
2460483.83532061,0.9936157,0.0066746,1.4558843,1.0006094
2460483.83603552,0.9867562,0.0066747,1.4617342,1.0006244
2460483.83676033,0.9977945,0.0066748,1.4676795,1.0006396
2460483.83747474,0.9947565,0.0066749,1.4734874,1.0006545
2460483.83818885,0.9991844,0.0066749,1.4796081,1.0006701
2460483.83890306,0.9945605,0.006675,1.4857137,1.0006858
2460483.8396181,1.0046342,0.0066751,1.4918529,1.0007015
2460483.84033448,1.0011994,0.0066752,1.4981678,1.0007177
2460483.84105031,0.9927519,0.0066753,1.5046026,1.0007342
2460483.8417644,0.9966354,0.0066753,1.5108201,1.0007501
2460483.84248079,0.9992226,0.0066754,1.517383,1.0007669
2460483.84319549,0.9999811,0.0066755,1.5239136,1.0007836
2460483.8439109,0.9951697,0.0066756,1.5305731,1.0008007
2460483.84462618,1.0023951,0.0066757,1.5373936,1.0008182
2460483.84534085,0.9932502,0.0066758,1.5439645,1.000835
2460483.84677208,1.0022495,0.0066759,1.5578782,1.0008707
2460483.84920883,0.9913,0.0066763,1.5824026,1.0009335
2460483.8499232,0.9928161,0.0066764,1.5895202,1.0009517
2460483.85063774,1.0055432,0.0066764,1.5970228,1.000971
2460483.85135352,0.9940963,0.0066765,1.6045246,1.0009902
2460483.85206884,1.0106275,0.0066766,1.612258,1.00101
2460483.85278406,0.9920096,0.0066767,1.62004,1.00103
2460483.85349767,0.9974921,0.0066768,1.6276111,1.0010494
2460483.85421228,0.9863725,0.0066769,1.6354882,1.0010695
2460483.8549273,1.0124933,0.006677,1.6436188,1.0010904
2460483.85564264,1.0037064,0.0066771,1.651803,1.0011114
2460483.85635764,1.0065579,0.0066773,1.6598418,1.001132
2460483.85707253,1.0023712,0.0066774,1.6680729,1.0011531
2460483.85778784,1.0119253,0.0066775,1.676537,1.0011748
2460483.85850398,1.0010921,0.0066776,1.6851251,1.0011968
2460483.85921895,1.0077517,0.0066777,1.6937329,1.0012188
2460483.85993249,1.0035422,0.0066778,1.7023399,1.0012409
2460483.86064656,1.0072179,0.0066779,1.7112846,1.0012638
2460483.86136125,0.9985547,0.006678,1.7201456,1.0012865
2460483.86207593,0.9984068,0.0066781,1.7293498,1.0013101
2460483.86279104,1.0066236,0.0066783,1.7385887,1.0013338
2460483.86350537,1.0047733,0.0066784,1.7476583,1.0013571
2460483.86421903,1.0018569,0.0066785,1.7572072,1.0013815
2460483.8649328,0.997423,0.0066786,1.7669062,1.0014064
2460483.86564707,1.0030551,0.0066787,1.7766121,1.0014313
2460483.86636199,0.9985031,0.0066789,1.7861251,1.0014557
2460483.86707817,0.9956353,0.006679,1.7961737,1.0014814
2460483.86779256,0.9929457,0.0066791,1.8062997,1.0015074
2460483.86850623,1.0075454,0.0066793,1.816597,1.0015338
2460483.86922114,1.0060564,0.0066794,1.8266816,1.0015597
2460483.86993641,1.0090633,0.0066795,1.8373149,1.0015869
2460483.87065172,1.0144091,0.0066797,1.847862,1.001614
2460483.87136644,1.0164606,0.0066798,1.8588637,1.0016422
2460483.87208118,0.9946552,0.0066799,1.869765,1.0016701
2460483.87279441,0.999541,0.0066801,1.8806344,1.001698
2460483.87350847,0.9829732,0.0066802,1.8921053,1.0017274
2460483.87595429,0.996981,0.0066807,1.9315175,1.0018285
2460483.8766689,0.9959378,0.0066809,1.9436286,1.0018596
2460483.8773849,0.9900252,0.006681,1.9558031,1.0018908
2460483.87809927,0.9884548,0.0066812,1.9682799,1.0019228
2460483.8788136,1.011735,0.0066814,1.9808695,1.0019551
2460483.87952727,0.9918669,0.0066815,1.9930628,1.0019864
2460483.88024173,1.00836,0.0066817,2.0061741,1.00202
2460483.88095619,0.9991981,0.0066818,2.019056,1.002053
2460483.88166969,1.0114696,0.006682,2.0326063,1.0020878
2460483.88238507,1.014205,0.0066822,2.0456303,1.0021212
2460483.88309908,1.0055474,0.0066824,2.0593805,1.0021565
2460483.88381289,0.9915533,0.0066825,2.0734145,1.0021925
2460483.88452658,0.9866224,0.0066827,2.0874703,1.0022285
2460483.88524088,0.9953872,0.0066829,2.101462,1.0022644
2460483.88595929,1.00419,0.0066831,2.116038,1.0023018
2460483.88667402,1.0054633,0.0066833,2.1309783,1.0023402
2460483.88738977,1.004266,0.0066835,2.1459936,1.0023787
2460483.88810331,0.9895971,0.0066837,2.1614264,1.0024183
2460483.88953118,1.0120352,0.0066841,2.1921587,1.0024972
2460483.89024657,1.0064889,0.0066843,2.2081598,1.0025383
2460483.89246853,1.0070367,0.0066849,2.2594884,1.00267
2460483.89318235,1.0058232,0.0066851,2.2765586,1.0027138
2460483.89389578,1.0066342,0.0066854,2.2932273,1.0027566
2460483.89461186,1.0162271,0.0066856,2.3108819,1.0028019
2460483.89532735,0.9915991,0.0066858,2.3291363,1.0028488
