#TYPE=EXOPLANET
#OBSCODE=VVIA
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.1.0
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-52
#EXOPLANET_NAME=WASP-52 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "348.549836093", "dec": "8.84866679452", "x": "2456", "y": "1461"}
#NOTES=ASI294MM Astrodon R E-series
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "610.0", "units": "nm"}, {"value": "690.0", "units": "nm"}]}
#PRIORS=Period=1.74978082 +/- 3.9e-07,Rp/R*=0.1646 +/- 0.0012,a/R*=7.3 +/- 0.27,inc=85.24 +/- 0.84,ecc=0.0,u0=1.852 +/- 0.014,u1=-3.06 +/- 0.057,u2=3.418 +/- 0.074,u3=-1.211 +/- 0.031
#PRIORS-XC={"Period": {"value": "1.74978082", "uncertainty": "3.9e-07", "units": "days"}, "Rp/R*": {"value": "0.1646", "uncertainty": "0.0012"}, "a/R*": {"value": "7.3", "uncertainty": "0.27"}, "inc": {"value": "85.24", "uncertainty": "0.84", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.852", "uncertainty": "0.014"}, "u1": {"value": "-3.06", "uncertainty": "0.057"}, "u2": {"value": "3.418", "uncertainty": "0.074"}, "u3": {"value": "-1.211", "uncertainty": "0.031"}}
#RESULTS=Tc=2460162.88172 +/- 0.00075,Rp/R*=0.1527 +/- 0.0042,a/R*=7.82 +/- 0.15,Am1=0.9385 +/- 0.007,Am2=0.0533 +/- 0.0073
#RESULTS-XC={"Tc": {"value": "2460162.88172", "uncertainty": "0.00075", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1527", "uncertainty": "0.0042"}, "a/R*": {"value": "7.82", "uncertainty": "0.15"}, "Am1": {"value": "0.9385", "uncertainty": "0.007"}, "Am2": {"value": "0.0533", "uncertainty": "0.0073"}, "Duration": {"value": "0.068", "uncertainty": "0.0019", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460162.81350575,1.0059091,0.0075997,1.3820429,1.0102359
2460162.81421059,1.0211291,0.0075976,1.3777359,1.0100041
2460162.81491179,0.9970568,0.0075954,1.373469,1.0097746
2460162.81561263,1.0050364,0.0075933,1.3691829,1.009544
2460162.81631461,1.0064574,0.0075912,1.3648556,1.0093113
2460162.81701605,1.0050747,0.0075891,1.3606934,1.0090875
2460162.81771806,1.0094395,0.007587,1.3565265,1.0088635
2460162.81841913,1.009839,0.007585,1.3524907,1.0086466
2460162.81911962,0.9998915,0.0075831,1.3485165,1.008433
2460162.81982042,1.0042842,0.007581,1.3443877,1.0082112
2460162.82052251,1.002589,0.0075791,1.3404522,1.0079998
2460162.82122353,1.0105207,0.0075771,1.3365868,1.0077922
2460162.82192584,1.0084955,0.0075752,1.3326228,1.0075794
2460162.82262684,1.0011267,0.0075733,1.3288442,1.0073766
2460162.82332773,1.0084661,0.0075715,1.3251349,1.0071775
2460162.82402951,1.0034333,0.0075696,1.3214537,1.00698
2460162.82473097,1.0255055,0.0075678,1.3176539,1.0067762
2460162.82543158,1.0027352,0.007566,1.3140217,1.0065814
2460162.82613312,1.0142573,0.0075642,1.3104742,1.0063911
2460162.82683382,1.001209,0.0075625,1.3069472,1.006202
2460162.82753472,1.007923,0.0075607,1.3034543,1.0060148
2460162.82823498,1.0047829,0.007559,1.2999219,1.0058255
2460162.82893619,1.0051563,0.0075573,1.2965142,1.0056429
2460162.82963748,0.9931496,0.0075556,1.2931171,1.0054609
2460162.83033869,1.0078519,0.007554,1.2898168,1.0052841
2460162.831041,0.9964951,0.0075524,1.2865633,1.0051098
2460162.83174234,1.0124669,0.0075507,1.2831939,1.0049294
2460162.83244369,1.000894,0.0075491,1.2799993,1.0047584
2460162.83314589,1.0272955,0.0075476,1.2768205,1.0045882
2460162.83384665,1.0098856,0.007546,1.2736607,1.0044191
2460162.83454829,0.9964098,0.0075444,1.2704774,1.0042488
2460162.83524937,1.0184234,0.0075429,1.2674447,1.0040865
2460162.83595084,1.004167,0.0075415,1.2644404,1.0039258
2460162.83665196,1.0025376,0.00754,1.2614361,1.0037652
2460162.8373527,0.9995953,0.0075385,1.2583826,1.0036019
2460162.83805503,1.0037258,0.007537,1.2554792,1.0034466
2460162.84126143,1.002345,0.0075306,1.2424455,1.0027501
2460162.84196607,1.0025601,0.0075293,1.2397047,1.0026036
2460162.84266799,1.0026663,0.0075279,1.2369423,1.0024561
2460162.84336959,0.9948853,0.0075266,1.2343115,1.0023156
2460162.84407101,1.019242,0.0075253,1.2316962,1.0021759
2460162.84477192,0.9924107,0.007524,1.2290946,1.002037
2460162.84547377,1.0068415,0.0075227,1.2264526,1.001896
2460162.84617418,1.0117144,0.0075215,1.2239323,1.0017615
2460162.84687441,1.0099866,0.0075203,1.2214446,1.0016287
2460162.84757535,0.998137,0.0075191,1.2189843,1.0014974
2460162.84827616,1.0086927,0.0075179,1.2165602,1.0013681
2460162.84897962,1.0101783,0.0075166,1.2140708,1.0012353
2460162.8496814,0.9999401,0.0075155,1.2116811,1.0011078
2460162.85038214,0.9905252,0.0075143,1.2093604,1.000984
2460162.85108326,1.0033724,0.0075132,1.2070675,1.0008617
2460162.85178485,1.0030191,0.007512,1.2047043,1.0007357
2460162.85248578,1.0077121,0.0075109,1.2024701,1.0006166
2460162.85318636,1.0009004,0.0075099,1.200245,1.000498
2460162.85388883,0.9946994,0.0075088,1.1980296,1.0003799
2460162.85459073,0.9826369,0.0075077,1.1958081,1.0002615
2460162.8552921,0.9902583,0.0075066,1.1936931,1.0001488
2460162.85599405,0.9805287,0.0075056,1.1915679,1.0000356
2460162.85669578,0.9925688,0.0075046,1.1894945,0.9999251
2460162.85739606,0.9803575,0.0075036,1.1874419,0.9998158
2460162.85809799,0.98492,0.0075025,1.1853529,0.9997045
2460162.85879889,0.9802323,0.0075016,1.1833596,0.9995983
2460162.8594996,0.9714805,0.0075006,1.1814022,0.9994941
2460162.86019988,0.9790667,0.0074997,1.1794715,0.9993913
2460162.86090208,0.9827317,0.0074987,1.1774825,0.9992854
2460162.86160284,0.9885185,0.0074977,1.1755856,0.9991844
2460162.86230647,0.975231,0.0074968,1.1737322,0.9990857
2460162.86300753,0.9780738,0.0074959,1.1719035,0.9989884
2460162.86370804,0.9822388,0.007495,1.1700907,0.9988919
2460162.86440866,0.9766414,0.0074942,1.1682601,0.9987945
2460162.86511013,0.9776985,0.0074933,1.1664982,0.9987007
2460162.86581139,0.963422,0.0074924,1.1647346,0.9986069
2460162.86651271,0.971708,0.0074916,1.1630568,0.9985176
2460162.86721401,0.9659653,0.0074908,1.1613382,0.9984262
2460162.86791411,0.9910701,0.0074899,1.1596722,0.9983376
2460162.8686147,0.9761221,0.0074891,1.1580504,0.9982513
2460162.86931617,0.9687968,0.0074884,1.1564453,0.998166
2460162.87001812,0.9869631,0.0074876,1.1547951,0.9980782
2460162.8707202,0.9795499,0.0074868,1.1532357,0.9979953
2460162.8714214,0.9838602,0.0074861,1.1517292,0.9979152
2460162.8721216,0.9756602,0.0074853,1.1502162,0.9978347
2460162.87282332,0.9703693,0.0074846,1.1487193,0.9977552
2460162.87352425,0.9669139,0.0074838,1.1472139,0.9976751
2460162.87422604,0.9809633,0.0074831,1.145776,0.9975987
2460162.87492671,0.9728994,0.0074824,1.1443632,0.9975236
2460162.87562756,0.9836573,0.0074818,1.1429799,0.9974501
2460162.87632853,0.9694204,0.0074811,1.1415716,0.9973753
2460162.87702956,0.9756193,0.0074804,1.1402198,0.9973034
2460162.87773074,0.9699721,0.0074798,1.1388863,0.9972326
2460162.878432,0.9695887,0.0074791,1.1375938,0.9971639
2460162.87913343,0.9859566,0.0074785,1.1363217,0.9970963
2460162.8798354,0.9762688,0.0074779,1.135027,0.9970275
2460162.88053604,0.974552,0.0074773,1.133809,0.9969628
2460162.88123755,0.9782256,0.0074767,1.1325961,0.9968984
2460162.88193883,0.9565623,0.0074761,1.1313966,0.9968347
2460162.88264005,0.9687593,0.0074755,1.1302008,0.9967712
2460162.88334128,0.9770275,0.007475,1.1290721,0.9967113
2460162.88404261,0.9880152,0.0074744,1.1279419,0.9966512
2460162.88474406,0.9660437,0.0074739,1.1268503,0.9965933
2460162.88544497,0.9717181,0.0074733,1.1257757,0.9965362
2460162.88614537,0.9802716,0.0074728,1.1246807,0.9964781
2460162.88684678,0.9763213,0.0074723,1.1236502,0.9964234
2460162.88754776,0.9793276,0.0074718,1.1226495,0.9963703
2460162.88824911,0.9789397,0.0074713,1.1216567,0.9963176
2460162.88894981,0.968226,0.0074708,1.1206568,0.9962645
2460162.88965152,0.9715575,0.0074704,1.1197118,0.9962143
2460162.89035211,0.973805,0.0074699,1.1187846,0.9961651
2460162.89105256,0.9614565,0.0074695,1.1178798,0.9961171
2460162.89175346,0.9744635,0.0074691,1.1170055,0.9960707
2460162.89245677,0.9685234,0.0074686,1.1161179,0.9960236
2460162.89315875,0.9592525,0.0074682,1.1152716,0.9959787
2460162.89386036,0.9709071,0.0074678,1.1144427,0.9959347
2460162.89456152,0.9590199,0.0074674,1.1136212,0.9958911
2460162.8952626,0.9639344,0.007467,1.1128488,0.9958501
2460162.89596303,0.9748691,0.0074667,1.1120878,0.9958097
2460162.89666404,0.9738644,0.0074663,1.1113554,0.9957709
2460162.89736461,0.9661003,0.0074659,1.1106316,0.9957325
2460162.8980656,0.9657275,0.0074656,1.1099058,0.995694
2460162.89876742,0.9669432,0.0074653,1.1092291,0.9956581
2460162.89946825,0.9676486,0.0074649,1.1085794,0.9956236
2460162.90016946,0.9766985,0.0074646,1.107941,0.9955898
2460162.90087088,0.9696943,0.0074643,1.1073063,0.9955561
2460162.90157971,0.9670103,0.007464,1.1067099,0.9955245
2460162.90227988,0.9813738,0.0074637,1.1061246,0.9954934
2460162.90298061,0.9923492,0.0074635,1.1055695,0.995464
2460162.90368109,0.9787247,0.0074632,1.1050218,0.9954349
2460162.9043823,0.979146,0.007463,1.1045054,0.9954075
2460162.90508304,0.9732559,0.0074627,1.1040054,0.995381
2460162.90578369,0.9954417,0.0074625,1.103524,0.9953555
2460162.90648523,0.9852845,0.0074622,1.1030508,0.9953304
2460162.90718669,0.9876485,0.007462,1.1026094,0.995307
2460162.9078876,0.9882007,0.0074618,1.1021957,0.995285
2460162.90858887,0.9885523,0.0074616,1.1017968,0.9952639
2460162.90929037,0.9742578,0.0074614,1.1014023,0.995243
2460162.90999131,0.9889211,0.0074613,1.1010427,0.9952239
2460162.91069281,0.9870622,0.0074611,1.1007023,0.9952059
2460162.91139336,0.9951313,0.0074609,1.1003824,0.9951889
2460162.91209489,0.9833004,0.0074608,1.1000804,0.9951729
2460162.91280064,0.9900864,0.0074607,1.0997818,0.995157
2460162.91350086,0.9912585,0.0074605,1.099527,0.9951435
2460162.9142025,0.998259,0.0074604,1.0992796,0.9951304
2460162.91490418,1.0122787,0.0074603,1.0990584,0.9951187
2460162.91560541,0.9936698,0.0074602,1.0988462,0.9951074
2460162.91630683,1.0112324,0.0074601,1.0986604,0.9950976
2460162.9170093,1.000538,0.00746,1.0984925,0.9950887
2460162.9177097,1.0027682,0.0074599,1.0983415,0.9950807
2460162.92757443,0.9934698,0.0074589,1.0962841,0.9949716
2460162.92827851,0.9868469,0.007459,1.0964286,0.9949793
2460162.92898092,0.9980373,0.0074591,1.0965924,0.994988
2460162.92968172,0.9934853,0.0074592,1.0967845,0.9949981
2460162.93038182,1.0069053,0.0074593,1.0969806,0.9950085
2460162.93108348,0.9985203,0.0074594,1.0972031,0.9950203
2460162.93178485,0.9958153,0.0074595,1.0974424,0.995033
2460162.93248657,0.9940331,0.0074596,1.0977119,0.9950473
2460162.93318814,0.9852352,0.0074598,1.0979898,0.995062
2460162.93389039,1.0022386,0.0074599,1.0982908,0.995078
2460162.93459103,0.9937691,0.0074601,1.0986085,0.9950948
2460162.93529187,0.9954938,0.0074602,1.0989537,0.9951131
2460162.93599368,0.9995205,0.0074604,1.0993124,0.9951322
2460162.93669509,1.0080229,0.0074606,1.0996898,0.9951522
2460162.93739614,0.9870505,0.0074608,1.1000851,0.9951731
2460162.93809716,1.0027767,0.007461,1.1004951,0.9951949
2460162.93879815,0.9918958,0.0074612,1.1009501,0.995219
2460162.93949909,0.9987673,0.0074614,1.1014004,0.9952429
2460162.94020031,0.9916328,0.0074617,1.1018762,0.9952681
2460162.9409012,0.9977478,0.0074619,1.1023736,0.9952945
2460162.94160213,0.9985272,0.0074622,1.1029047,0.9953226
2460162.94230339,1.0009831,0.0074624,1.1034368,0.9953509
2460162.94300551,0.9874387,0.0074627,1.1039881,0.9953801
2460162.94370613,0.9767546,0.007463,1.1045533,0.9954101
2460162.94440919,0.9835268,0.0074633,1.1051632,0.9954424
2460162.94511012,0.9911892,0.0074636,1.1057777,0.995475
2460162.9458113,0.9957021,0.0074639,1.1064156,0.9955088
2460162.9465122,0.9876484,0.0074642,1.1070611,0.9955431
2460162.94721314,0.989161,0.0074645,1.1077507,0.9955797
2460162.94791464,0.9967763,0.0074649,1.1084513,0.9956168
2460162.9486176,0.9959765,0.0074652,1.1091636,0.9956546
