x,y_interpolated
2460161.832,0.9994706
2460161.832,0.9973827013
2460161.832,0.995313399
2460161.832,0.993635537
2460161.833,0.9927219583
2460161.833,0.9929455117
2460161.833,0.9944907863
2460161.833,0.9968386625
2460161.833,0.9993056167
2460161.833,1.001208125
2460161.833,1.001862754
2460161.834,1.000861654
2460161.834,0.9986812353
2460161.834,0.9959748899
2460161.834,0.9933960099
2460161.834,0.9915976903
2460161.834,0.9910311283
2460161.834,0.9915947402
2460161.835,0.99309318
2460161.835,0.9953311059
2460161.835,0.9981129796
2460161.835,1.001190997
2460161.835,1.004195035
2460161.835,1.006737461
2460161.835,1.008430677
2460161.836,1.008888934
2460161.836,1.007989154
2460161.836,1.006139904
2460161.836,1.003813936
2460161.836,1.001484026
2460161.836,0.999620518
2460161.836,0.9984954309
2460161.837,0.9980376078
2460161.837,0.9981417571
2460161.837,0.9987025872
2460161.837,0.9996129772
2460161.837,1.000670734
2460161.837,1.001534328
2460161.837,1.00185113
2460161.838,1.001268512
2460161.838,0.9994452772
2460161.838,0.9964799163
2460161.838,0.9930393865
2460161.838,0.9898283309
2460161.838,0.9875514008
2460161.838,0.9868935065
2460161.839,0.9879549685
2460161.839,0.9901682521
2460161.839,0.9929293099
2460161.839,0.9956341164
2460161.839,0.9976982891
2460161.839,0.9989733709
2460161.839,0.9997381244
2460161.84,1.000289221
2460161.84,1.000923328
2460161.84,1.001913805
2460161.84,1.003117408
2460161.84,1.004031542
2460161.84,1.004141828
2460161.84,1.002933882
2460161.841,0.9999522088
2460161.841,0.995580714
2460161.841,0.9908288721
2460161.841,0.986721102
2460161.841,0.9842818229
2460161.841,0.984432909
2460161.841,0.9868924373
2460161.842,0.9905962001
2460161.842,0.9944667224
2460161.842,0.9974265242
2460161.842,0.9985195249
2460161.842,0.9979484499
2460161.842,0.9965589539
2460161.842,0.9952035697
2460161.842,0.9947348146
2460161.843,0.9958789162
2460161.843,0.9983641075
2460161.843,1.001444724
2460161.843,1.004372241
2460161.843,1.006398106
2460161.843,1.006898873
2460161.843,1.00607537
2460161.844,1.004462037
2460161.844,1.002594253
2460161.844,1.001007397
2460161.844,1.000164375
2460161.844,1.000125618
2460161.844,1.000812688
2460161.844,1.002147015
2460161.845,1.00405003
2460161.845,1.006395694
2460161.845,1.00883327
2460161.845,1.01094565
2460161.845,1.012315708
2460161.845,1.012526318
2460161.845,1.011292546
2460161.846,1.008852622
2460161.846,1.005574162
2460161.846,1.001824819
2460161.846,0.9979722064
2460161.846,0.9943730323
2460161.846,0.9913484215
2460161.846,0.9892122682
2460161.847,0.9882784662
2460161.847,0.9888606037
2460161.847,0.9910143874
2460161.847,0.9940709859
2460161.847,0.9972352544
2460161.847,0.9997120486
2460161.847,1.000707754
2460161.848,0.9998638072
2460161.848,0.9978533396
2460161.848,0.9954990401
2460161.848,0.9936235979
